incentive_name,agency_administering,validity_period,website_link,incentive_type,eligibility_criteria,other_prerequisites,grant_sub_category,activity,supportable_cost_expense_items,funding_support,deliverables,industry,capability_areas,error
IRAS Digital Integration Incentive (DII) - Tranche 1,Inland Revenue Authority of Singapore,"until 30 June 2024 or when 12 grantees are successfully approved for 1st Tranche, whichever is earlier",https://www.iras.gov.sg/digital-collaboration/for-software-developers/accounting-tax-software/iras-digital-integration-incentive-(dii),Grant,"['Fulfilled IRAS ASR+ Tier 3 criteria, including the successful full integration of IRAS ASR+ digital products.']",Grantees must maintain the solution and remain listed on the IRAS ASR+ for at least 2 years from the date of acceptance of Tranche 1.,,"Integration of IRAS APIs for Corporate Income Tax Returns (Form C-S) and GST Returns (GST F5, F8) as well as e-invoicing capabilities",,"$25,000",,['All'],['Digitalisation'],False
IRAS Digital Integration Incentive (DII) - Tranche 2,Inland Revenue Authority of Singapore,until 31 December 2024,https://www.iras.gov.sg/digital-collaboration/for-software-developers/accounting-tax-software/iras-digital-integration-incentive-(dii),Grant,"['1st Tranche is a pre-requisite.', 'Eligible grantees have to show proof of scaled-up business usage: Attained 100 successful submissions (Corporate Income Tax and/or GST); Obtained written feedback from 5 satisfied customers.']",Eligible grantees are allowed to use the completed Customer Satisfaction Surveys which were previously submitted to the IMDA as proof of fulfilment of the '5 satisfied customers' criteria for the purpose of the Productivity Solutions Grant (PSG) application.,,"Integration of IRAS APIs for Corporate Income Tax Returns (Form C-S) and GST Returns (GST F5, F8) as well as e-invoicing capabilities",,"$25,000",,['All'],['Digitalisation'],False
Enterprise Development Grant (EDG) - Core Capabilities,Enterprise Singapore,Open until further notice,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,Grant,"['Business entity registered and operating in Singapore', 'Company has at least 30% local equity held directly or indirectly by Singaporean(s) and/or Singapore PR(s), determined by the ultimate individual ownership', 'Company is financially ready to start and complete the project. Commonly used financial indicators, such as the current ratio, will be used for assessment.']","Applications will be assessed by EnterpriseSG based on project scope, project outcomes and competency of the service provider.",Core Capabilities,Business Strategy Development,"Third-party consultancy fees, software and equipment, and internal manpower cost",Up to 50% of eligible costs for local SMEs,"Project proposal, documentation of project deliverables, cost items documentation for audit",['All'],"['Innovation', 'Human Capital']",False
Enterprise Development Grant (EDG) - Innovation & Productivity,Enterprise Singapore,Open until further notice,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,Grant,"['Business entity registered and operating in Singapore', 'Company has at least 30% local equity held directly or indirectly by Singaporean(s) and/or Singapore PR(s), determined by the ultimate individual ownership', 'Company is financially ready to start and complete the project. Commonly used financial indicators, such as the current ratio, will be used for assessment.']","Applications will be assessed by EnterpriseSG based on project scope, project outcomes and competency of the service provider.",Innovation & Productivity,Automation,"Adoption/development of sophisticated hardware and/or software solutions, development of solutions that involve purchase of machinery and integration of systems",Up to 50% of eligible costs for local SMEs,"Project proposal, documentation of project deliverables, cost items documentation for audit",['All'],"['Innovation', 'Digitalisation']",False
Enterprise Development Grant (EDG) - Market Access,Enterprise Singapore,Open until further notice,https://www.enterprisesg.gov.sg/financial-support/enterprise-development-grant,Grant,"['Business entity registered and operating in Singapore', 'Company has at least 30% local equity held directly or indirectly by Singaporean(s) and/or Singapore PR(s), determined by the ultimate individual ownership', 'Company is financially ready to start and complete the project. Commonly used financial indicators, such as the current ratio, will be used for assessment.']","Applications will be assessed by EnterpriseSG based on project scope, project outcomes and competency of the service provider.",Market Access,Pilot Project and Test Bedding,Demonstration of product/solution viability and establishment of a track record to scale in new markets,Up to 50% of eligible costs for local SMEs,"Project proposal, documentation of project deliverables, cost items documentation for audit",['All'],['Internationalisation'],False
SMEs Go Digital,Infocomm Media Development Authority (IMDA),,https://www.imda.gov.sg/how-we-can-help/smes-go-digital,Programme,[],,,Digitalisation,,,,['All'],['Digitalisation'],False
Growth and Transformation Scheme (GTS),Building and Construction Authority (BCA),1 April 2022 to 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/growth-and-transformation-scheme,Grant,"['Be registered business entities in Singapore', 'Have undertaken and/ or completed construction projects in Singapore in the past three years, including projects adopting DfMA, IDD, and/ or Green Buildings', 'Developers and Contractors should have a pipeline of projects within the 3-5 year transformation plan', 'The alliance must involve other SME stakeholders (e.g. specialists, prefabricators) in their business plan and/ or projects', 'An alliance must be led by a Developer and involve its value chain partners, which include but are not limited to Consultants, Main Contractor, Sub-Contractors, and Prefabricators. It may also include related-party firms, e.g. an Integrated Construction and Prefabrication Hub (ICPH) operator that is a subsidiary of a Main Contractor in the alliance']","The applicant(s) must not have signed or confirmed a contract with or made payment to a supplier, vendor or third party in relation to the purchase/lease/subscription of the products or services before the application.",,Strategic Collaboration / Business Growth,"Drafting of collaborative contracts, training and hiring of professionals with collaborative contracting experience, consultancy for business strategy development and process re-engineering/redesigning",Up to 70% of qualifying costs on a reimbursement basis,,['Built Environment'],"['Innovation', 'Human Capital']",False
Growth and Transformation Scheme (GTS),Building and Construction Authority (BCA),1 April 2022 to 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/growth-and-transformation-scheme,Grant,"['Be registered business entities in Singapore', 'Have undertaken and/ or completed construction projects in Singapore in the past three years, including projects adopting DfMA, IDD, and/ or Green Buildings', 'Developers and Contractors should have a pipeline of projects within the 3-5 year transformation plan', 'The alliance must involve other SME stakeholders (e.g. specialists, prefabricators) in their business plan and/ or projects', 'An alliance must be led by a Developer and involve its value chain partners, which include but are not limited to Consultants, Main Contractor, Sub-Contractors, and Prefabricators. It may also include related-party firms, e.g. an Integrated Construction and Prefabrication Hub (ICPH) operator that is a subsidiary of a Main Contractor in the alliance']","The applicant(s) must not have signed or confirmed a contract with or made payment to a supplier, vendor or third party in relation to the purchase/lease/subscription of the products or services before the application.",,Human Capital Development,"Training/course fees, consultancies",Up to 70% of qualifying costs on a reimbursement basis,,['Built Environment'],['Human Capital'],False
Growth and Transformation Scheme (GTS),Building and Construction Authority (BCA),1 April 2022 to 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/growth-and-transformation-scheme,Grant,"['Be registered business entities in Singapore', 'Have undertaken and/ or completed construction projects in Singapore in the past three years, including projects adopting DfMA, IDD, and/ or Green Buildings', 'Developers and Contractors should have a pipeline of projects within the 3-5 year transformation plan', 'The alliance must involve other SME stakeholders (e.g. specialists, prefabricators) in their business plan and/ or projects', 'An alliance must be led by a Developer and involve its value chain partners, which include but are not limited to Consultants, Main Contractor, Sub-Contractors, and Prefabricators. It may also include related-party firms, e.g. an Integrated Construction and Prefabrication Hub (ICPH) operator that is a subsidiary of a Main Contractor in the alliance']","The applicant(s) must not have signed or confirmed a contract with or made payment to a supplier, vendor or third party in relation to the purchase/lease/subscription of the products or services before the application.",,Productivity,"Process redesign initiatives, robotics and automation solutions",Up to 70% of qualifying costs on a reimbursement basis,,['Built Environment'],['Innovation'],False
Growth and Transformation Scheme (GTS),Building and Construction Authority (BCA),1 April 2022 to 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/growth-and-transformation-scheme,Grant,"['Be registered business entities in Singapore', 'Have undertaken and/ or completed construction projects in Singapore in the past three years, including projects adopting DfMA, IDD, and/ or Green Buildings', 'Developers and Contractors should have a pipeline of projects within the 3-5 year transformation plan', 'The alliance must involve other SME stakeholders (e.g. specialists, prefabricators) in their business plan and/ or projects', 'An alliance must be led by a Developer and involve its value chain partners, which include but are not limited to Consultants, Main Contractor, Sub-Contractors, and Prefabricators. It may also include related-party firms, e.g. an Integrated Construction and Prefabrication Hub (ICPH) operator that is a subsidiary of a Main Contractor in the alliance']","The applicant(s) must not have signed or confirmed a contract with or made payment to a supplier, vendor or third party in relation to the purchase/lease/subscription of the products or services before the application.",,Digitalisation,"Implementation of a Common Data Environment, federation of project partners’ BIM models, integration of key functions such as procurement and contract management, setup of core digital teams",Up to 70% of qualifying costs on a reimbursement basis,,['Built Environment'],['Digitalisation'],False
Growth and Transformation Scheme (GTS),Building and Construction Authority (BCA),1 April 2022 to 31 March 2025,https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/growth-and-transformation-scheme,Grant,"['Be registered business entities in Singapore', 'Have undertaken and/ or completed construction projects in Singapore in the past three years, including projects adopting DfMA, IDD, and/ or Green Buildings', 'Developers and Contractors should have a pipeline of projects within the 3-5 year transformation plan', 'The alliance must involve other SME stakeholders (e.g. specialists, prefabricators) in their business plan and/ or projects', 'An alliance must be led by a Developer and involve its value chain partners, which include but are not limited to Consultants, Main Contractor, Sub-Contractors, and Prefabricators. It may also include related-party firms, e.g. an Integrated Construction and Prefabrication Hub (ICPH) operator that is a subsidiary of a Main Contractor in the alliance']","The applicant(s) must not have signed or confirmed a contract with or made payment to a supplier, vendor or third party in relation to the purchase/lease/subscription of the products or services before the application.",,Sustainability,"Initiatives to achieve Green Mark 2021 Platinum Super Low Energy, process redesign and/or deployment of advanced technologies in Facilities Management",Up to 70% of qualifying costs on a reimbursement basis,,['Built Environment'],['Sustainability'],False
Productivity Solutions Grant,Enterprise Singapore,,https://www.enterprisesg.gov.sg/financial-support/productivity-solutions-grant,Grant,"['Business entity is registered and operating in Singapore', 'Company has at least 30% local equity held directly or indirectly by Singaporean(s) and/or Singapore PR(s), determined by the ultimate individual ownership', 'Group annual sales turnover not exceeding S$100 million OR group employment size not exceeding 200 employees', 'IT solutions or equipment that are purchased, leased, or subscribed to must be used in Singapore.', 'Grant applicant must not have made payment, and/or any form of deposits to a supplier, vendor or third party in relation to the purchase/lease/subscription of the IT solution or equipment prior to application submission', 'Company does not fall under these categories: Charities, Institutions of Public Characters (IPCs), Religious Entities, Voluntary Welfare Organisation (VWO), Government agencies and subsidiaries, and societies are not eligible for this grant.']","Retrospective applications (i.e., grant applicant must not have made payment, and/or any form of deposits prior to application submission) will not be supported. Group applications (two or more companies listed as applicants in one application form) are not allowed. Each Unique Entity Number (UEN) should be associated with only one application submission.",,Productivity enhancement,IT solutions and equipment,"Up to 50% of eligible costs for local SMEs, Receive up to $30,000","Invoice, Payment documents, Usage report (for IT Solutions only), Pictures",['All'],['Digitalisation'],False
SG Cyber Talent Development Fund,Cyber Security Agency of Singapore,"Applications open in January, April, July and October of each year",https://www.sgsocialsupport.com/resource/4KwjxJ5Sfxy,Grant,"['Organisations registered in Singapore', 'Pre-Tertiary and Tertiary Institutions', 'Individuals above the age of 18', 'For communities that are not registered, a representative can apply as an individual. However, they will not be able to apply for Tier 3 projects.', 'For individuals below the age of 18, they can apply for the fund through their respective educational institutions or teachers-in-charge']",Applications must be submitted online through the OurSG Grants Portal,,Develop new ground-up initiatives,"Training materials, Cost of trainer/staff, Marketing and Publicity, Cost of software/platform during event period, Venue rental, Refreshments",The fund will support 80% of supportable costs or the funding quantum specified for the project tier (whichever lower),,['ICT & Media'],['Human Capital'],False
SG Cyber Talent Development Fund,Cyber Security Agency of Singapore,"Applications open in January, April, July and October of each year",https://www.sgsocialsupport.com/resource/4KwjxJ5Sfxy,Grant,"['Organisations registered in Singapore', 'Pre-Tertiary and Tertiary Institutions', 'Individuals above the age of 18', 'For communities that are not registered, a representative can apply as an individual. However, they will not be able to apply for Tier 3 projects.', 'For individuals below the age of 18, they can apply for the fund through their respective educational institutions or teachers-in-charge']",Applications must be submitted online through the OurSG Grants Portal,,Sustain existing meaningful initiatives,"Training materials, Cost of trainer/staff, Marketing and Publicity, Cost of software/platform during event period, Venue rental, Refreshments",The fund will support 80% of supportable costs or the funding quantum specified for the project tier (whichever lower),,['ICT & Media'],['Human Capital'],False
SG Cyber Talent Development Fund,Cyber Security Agency of Singapore,"Applications open in January, April, July and October of each year",https://www.sgsocialsupport.com/resource/4KwjxJ5Sfxy,Grant,"['Organisations registered in Singapore', 'Pre-Tertiary and Tertiary Institutions', 'Individuals above the age of 18', 'For communities that are not registered, a representative can apply as an individual. However, they will not be able to apply for Tier 3 projects.', 'For individuals below the age of 18, they can apply for the fund through their respective educational institutions or teachers-in-charge']",Applications must be submitted online through the OurSG Grants Portal,,Scale impactful initiatives,"Training materials, Cost of trainer/staff, Marketing and Publicity, Cost of software/platform during event period, Venue rental, Refreshments",The fund will support 80% of supportable costs or the funding quantum specified for the project tier (whichever lower),,['ICT & Media'],['Human Capital'],False
Technology for Enterprise Capability Upgrading (T-Up),A*STAR and AI Singapore (AISG),,https://www.enterprisesg.gov.sg/grow-your-business/innovate-with-us/innovation-talent/technology-for-enterprise-capability-upgrading,Grant,"['Business entity registered or incorporated in Singapore', 'Company has at least 30% local equity held directly or indirectly by Singaporean(s) and/or Singapore PR(s), determined by the ultimate individual ownership', 'Business entity must be able to finance and complete the project', 'Company has a Group Annual Sales Turnover not exceeding S$100 million, OR a Group employment size not exceeding 200 employees']",,,Capability development,Overseas costs such as living allowances and airfare of contracted research scientists and engineers,"Up to 70% support of allowable costs as an SME or startup, or up to 30% support as an LLE. Both support levels are capped at S$250,000 per project.",,['All'],['Innovation'],False
Advanced Digital Solutions,Infocomm Media Development Authority (IMDA),,https://www.imda.gov.sg/how-we-can-help/smes-go-digital/advanced-digital-solutions,Programme,[],,,Digitalisation,,,,['All'],['Digitalisation'],False
Capability Transfer Programme (CTP),Workforce Singapore,,https://www.wsg.gov.sg/home/employers-industry-partners/workforce-development-job-redesign/omip-for-employers,Grant,"['Facilitate transfer of capabilities from foreign specialists to locals', 'Complement existing capability development programmes administered by other Government agencies']",,,Capability development,"Costs incurred in bringing in foreign specialists, costs of sending local trainees on overseas attachments, follow-on training by local trainers, funding for equipment and venue cost for industry-wide projects",Receive funding support of up to 50%,,['All'],"['Human Capital', 'Innovation']",False
Double Tax Deduction for Internationalisation,Enterprise Singapore,,https://www.enterprisesg.gov.sg/financial-support/double-tax-deduction-for-internationalisation,Tax Incentive,"['Business entity resides in Singapore with a primary purpose of promoting the trade of goods or provision of services', 'Businesses enjoying discretionary incentives may also be allowed to qualify for the DTDi scheme on a case-by-case basis, subject to approval by EnterpriseSG or the Singapore Tourism Board', 'Incentivised businesses must have their global headquarters in Singapore, with the primary purpose of trading in goods or providing services, and have an intention to internationalise.', ""Project must meet the following key objectives: Promotes the company's new products and services to new target market(s), Identifies new customers in target market(s) for the company’s existing products and services, Promotes the company’s new products and services to existing customers, Promotes the company’s existing products and services to existing markets so as to increase market share"", 'Applications must be submitted on the DTDi portal prior to starting the project.']",Applications must be submitted before project commencement.,,International market expansion and investment development,Eligible expenses for international market expansion and investment development activities,200% tax deduction on eligible expenses,"Attach the Letter of Support from EnterpriseSG to IRAS when filing the company's annual income tax return. All other relevant supporting documents (like invoices, receipts, etc), should be compliant and made available to IRAS upon request.",['All'],['Internationalisation'],False
Market Readiness Assistance Grant - Overseas Market Promotion,Enterprise Singapore,,https://www.enterprisesg.gov.sg/financial-support/market-readiness-assistance-grant,Grant,"['Business entity is registered and operating in Singapore', 'At least 30% local equity held directly or indirectly by Singaporean(s) and/or Singapore PR(s), determined by the ultimate individual ownership', 'New to target overseas market', 'The company’s annual sales in the target market must not have exceeded S$100,000 in any of the preceding three years', 'Group Annual Sales Turnover not exceeding S$100 million OR a Group employment size not exceeding 200 employees']",Retrospective applications are not permitted. Each project shall not exceed 12 months. Group applications are not allowed. Applications should only be submitted 6 months or less prior to the project start date.,,Overseas Market Promotion,"Launching of a marketing/PR campaign – e.g., in-store promotions, road shows, pop-up stores, fashion shows, developing social media presence, online/offline media coverage on various media platforms (e.g. press, blogs).","Up to 50% of eligible costs, capped at S$20,000","Proposal and/or quotation from your consultant/vendor, Consultant/vendor’s credentials/testimonials and track records of past completed projects",['All'],['Internationalisation'],False
Market Readiness Assistance Grant - Overseas Business Development,Enterprise Singapore,,https://www.enterprisesg.gov.sg/financial-support/market-readiness-assistance-grant,Grant,"['Business entity is registered and operating in Singapore', 'At least 30% local equity held directly or indirectly by Singaporean(s) and/or Singapore PR(s), determined by the ultimate individual ownership', 'New to target overseas market', 'The company’s annual sales in the target market must not have exceeded S$100,000 in any of the preceding three years', 'Group Annual Sales Turnover not exceeding S$100 million OR a Group employment size not exceeding 200 employees']",Retrospective applications are not permitted. Each project shall not exceed 12 months. Group applications are not allowed. Applications should only be submitted 6 months or less prior to the project start date.,,Overseas Business Development,Tap on outsourced business development services overseas.,"Up to 50% of eligible costs, capped at S$50,000","Proposal and/or quotation from your consultant/vendor, Consultant/vendor’s credentials/testimonials and track records of past completed projects",['All'],['Internationalisation'],False
Market Readiness Assistance Grant - Overseas Market Set-up,Enterprise Singapore,,https://www.enterprisesg.gov.sg/financial-support/market-readiness-assistance-grant,Grant,"['Business entity is registered and operating in Singapore', 'At least 30% local equity held directly or indirectly by Singaporean(s) and/or Singapore PR(s), determined by the ultimate individual ownership', 'New to target overseas market', 'The company’s annual sales in the target market must not have exceeded S$100,000 in any of the preceding three years', 'Group Annual Sales Turnover not exceeding S$100 million OR a Group employment size not exceeding 200 employees']",Retrospective applications are not permitted. Each project shall not exceed 12 months. Group applications are not allowed. Applications should only be submitted 6 months or less prior to the project start date.,,Overseas Market Set-up,"Cover advisory, legal, and documentation expenses relating to intellectual property application, overseas incorporation, and import and export licenses.","Up to 50% of eligible costs, capped at S$30,000","Proposal and/or quotation from your consultant/vendor, Consultant/vendor’s credentials/testimonials and track records of past completed projects",['All'],['Internationalisation'],False
Local Enterprise and Association Development Programme,Enterprise Singapore,,https://www.enterprisesg.gov.sg/financial-support/local-enterprise-and-association-development-programme,Grant,"['Only open to TACs', 'Represent a key industry and have a sizeable membership', 'Demonstrate a strong track record in helping enterprises', 'Have a strong and able leadership team with a long-term vision of developing the industry', 'Project(s) to be undertaken must not have started at the same time of the application']",,,Enterprise capability and industry development,"Manpower-related costs, Equipment and materials, Professional services, Business development costs, Intellectual property costs",Support for up to 70% of eligible costs for qualifying projects,,['All'],"['Internationalisation', 'Innovation']",False
Local Enterprise and Association Development Programme,Enterprise Singapore,,https://www.enterprisesg.gov.sg/financial-support/local-enterprise-and-association-development-programme,Grant,"['Only open to TACs', 'Represent a key industry and have a sizeable membership', 'Demonstrate a strong track record in helping enterprises', 'Have a strong and able leadership team with a long-term vision of developing the industry', 'Project(s) to be undertaken must not have started at the same time of the application']",,,Market access,Participation in international trade fairs and overseas business missions,Support for up to 70% of eligible costs for qualifying projects,,['All'],['Internationalisation'],False
Local Enterprise and Association Development Programme,Enterprise Singapore,,https://www.enterprisesg.gov.sg/financial-support/local-enterprise-and-association-development-programme,Grant,"['Only open to TACs', 'Represent a key industry and have a sizeable membership', 'Demonstrate a strong track record in helping enterprises', 'Have a strong and able leadership team with a long-term vision of developing the industry', 'Project(s) to be undertaken must not have started at the same time of the application']",,,TAC capability upgrading,Strengthen internal capabilities to be effective change agents and industry multipliers,Support for up to 70% of eligible costs for qualifying projects,,['All'],['Innovation'],False
Career Conversion Programme – Internationalisation Professionals,"Enterprise Singapore, Singapore Business Federation, Workforce Singapore",,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/talent-attraction-and-development/career-conversion-programme---internationalisation-professionals,Programme,"['Participating companies must be registered or incorporated in Singapore and have regional job roles to offer to potential candidates.', 'Individuals must be Singapore Citizens or Permanent Residents.']",,,Career conversion for mid-career professionals and unemployed professionals into sectors like wholesale trade and logistics,Salary and course fees,Funding supported under Workforce Singapore's Career Conversion Programme,,"['Wholesale Trade', 'Logistics']","['Human Capital', 'Internationalisation']",False
